"period","cell_id","record_count","richness"
"1890-1900",3662,1,1
"1890-1900",4049,1,1
"1890-1900",4051,1,1
"1890-1900",4161,5,3
"1890-1900",4163,1,1
"1890-1910",3662,1,1
"1890-1910",3996,1,1
"1890-1910",4049,1,1
"1890-1910",4051,1,1
"1890-1910",4161,5,3
"1890-1910",4163,1,1
"1890-1920",480,42,31
"1890-1920",482,1,1
"1890-1920",488,1,1
"1890-1920",489,15,12
"1890-1920",542,12,11
"1890-1920",545,2,2
"1890-1920",546,88,46
"1890-1920",547,1,1
"1890-1920",654,2,2
"1890-1920",657,44,29
"1890-1920",661,10,10
"1890-1920",774,6,6
"1890-1920",871,1,1
"1890-1920",941,1,1
"1890-1920",1219,1,1
"1890-1920",1264,3,3
"1890-1920",1599,2,2
"1890-1920",1602,1,1
"1890-1920",1712,4,3
"1890-1920",1768,1,1
"1890-1920",1826,2,2
"1890-1920",1880,1,1
"1890-1920",2215,4,2
"1890-1920",2216,1,1
"1890-1920",3158,5,3
"1890-1920",3270,2,1
"1890-1920",3273,1,1
"1890-1920",3324,1,1
"1890-1920",3432,4,4
"1890-1920",3440,1,1
"1890-1920",3445,7,6
"1890-1920",3553,1,1
"1890-1920",3662,1,1
"1890-1920",3765,1,1
"1890-1920",3882,1,1
"1890-1920",3983,3,3
"1890-1920",3996,1,1
"1890-1920",4049,1,1
"1890-1920",4051,1,1
"1890-1920",4060,5,5
"1890-1920",4161,5,3
"1890-1920",4163,1,1
"1890-1920",4280,1,1
"1890-1920",4281,16,11
"1890-1930",480,46,35
"1890-1930",482,1,1
"1890-1930",488,10,7
"1890-1930",489,15,12
"1890-1930",542,13,12
"1890-1930",545,2,2
"1890-1930",546,94,49
"1890-1930",547,1,1
"1890-1930",654,2,2
"1890-1930",657,48,33
"1890-1930",661,10,10
"1890-1930",774,6,6
"1890-1930",871,1,1
"1890-1930",882,1,1
"1890-1930",941,1,1
"1890-1930",1219,3,3
"1890-1930",1264,3,3
"1890-1930",1376,1,1
"1890-1930",1599,2,2
"1890-1930",1602,1,1
"1890-1930",1712,4,3
"1890-1930",1768,1,1
"1890-1930",1826,2,2
"1890-1930",1880,1,1
"1890-1930",2215,4,2
"1890-1930",2216,1,1
"1890-1930",3158,5,3
"1890-1930",3270,2,1
"1890-1930",3273,1,1
"1890-1930",3310,1,1
"1890-1930",3324,1,1
"1890-1930",3432,4,4
"1890-1930",3440,1,1
"1890-1930",3445,7,6
"1890-1930",3553,1,1
"1890-1930",3662,1,1
"1890-1930",3765,1,1
"1890-1930",3882,1,1
"1890-1930",3983,3,3
"1890-1930",3996,1,1
"1890-1930",4049,1,1
"1890-1930",4051,1,1
"1890-1930",4060,5,5
"1890-1930",4161,5,3
"1890-1930",4163,1,1
"1890-1930",4280,1,1
"1890-1930",4281,23,14
"1890-1940",369,1,1
"1890-1940",480,48,36
"1890-1940",482,1,1
"1890-1940",488,17,11
"1890-1940",489,17,14
"1890-1940",542,17,16
"1890-1940",545,2,2
"1890-1940",546,96,49
"1890-1940",547,1,1
"1890-1940",654,2,2
"1890-1940",657,52,36
"1890-1940",661,11,10
"1890-1940",774,6,6
"1890-1940",871,1,1
"1890-1940",882,1,1
"1890-1940",941,1,1
"1890-1940",1219,11,9
"1890-1940",1264,3,3
"1890-1940",1376,1,1
"1890-1940",1599,2,2
"1890-1940",1602,1,1
"1890-1940",1712,4,3
"1890-1940",1768,1,1
"1890-1940",1826,2,2
"1890-1940",1880,1,1
"1890-1940",2215,4,2
"1890-1940",2216,1,1
"1890-1940",3158,5,3
"1890-1940",3270,2,1
"1890-1940",3273,1,1
"1890-1940",3310,1,1
"1890-1940",3324,1,1
"1890-1940",3432,4,4
"1890-1940",3440,1,1
"1890-1940",3445,7,6
"1890-1940",3553,1,1
"1890-1940",3662,1,1
"1890-1940",3765,1,1
"1890-1940",3880,1,1
"1890-1940",3882,1,1
"1890-1940",3983,3,3
"1890-1940",3990,1,1
"1890-1940",3996,1,1
"1890-1940",4049,1,1
"1890-1940",4051,1,1
"1890-1940",4060,5,5
"1890-1940",4161,6,4
"1890-1940",4163,1,1
"1890-1940",4168,2,2
"1890-1940",4279,1,1
"1890-1940",4280,1,1
"1890-1940",4281,26,14
"1890-1940",4387,1,1
"1890-1940",4392,1,1
"1890-1950",368,1,1
"1890-1950",369,1,1
"1890-1950",479,1,1
"1890-1950",480,52,39
"1890-1950",482,1,1
"1890-1950",488,17,11
"1890-1950",489,17,14
"1890-1950",542,26,23
"1890-1950",545,2,2
"1890-1950",546,101,50
"1890-1950",547,1,1
"1890-1950",654,2,2
"1890-1950",657,55,37
"1890-1950",658,1,1
"1890-1950",661,11,10
"1890-1950",774,7,7
"1890-1950",871,1,1
"1890-1950",882,1,1
"1890-1950",941,1,1
"1890-1950",1214,1,1
"1890-1950",1219,11,9
"1890-1950",1264,3,3
"1890-1950",1366,1,1
"1890-1950",1376,2,2
"1890-1950",1599,2,2
"1890-1950",1602,1,1
"1890-1950",1712,4,3
"1890-1950",1768,1,1
"1890-1950",1826,3,3
"1890-1950",1880,1,1
"1890-1950",1998,1,1
"1890-1950",2215,4,2
"1890-1950",2216,1,1
"1890-1950",2549,1,1
"1890-1950",2605,1,1
"1890-1950",3158,5,3
"1890-1950",3270,2,1
"1890-1950",3273,1,1
"1890-1950",3310,1,1
"1890-1950",3311,1,1
"1890-1950",3324,1,1
"1890-1950",3432,4,4
"1890-1950",3440,1,1
"1890-1950",3445,7,6
"1890-1950",3553,1,1
"1890-1950",3662,1,1
"1890-1950",3765,1,1
"1890-1950",3880,1,1
"1890-1950",3882,1,1
"1890-1950",3889,1,1
"1890-1950",3983,3,3
"1890-1950",3990,1,1
"1890-1950",3992,1,1
"1890-1950",3996,1,1
"1890-1950",4049,1,1
"1890-1950",4051,1,1
"1890-1950",4055,1,1
"1890-1950",4056,3,2
"1890-1950",4060,6,6
"1890-1950",4111,1,1
"1890-1950",4161,6,4
"1890-1950",4163,1,1
"1890-1950",4168,17,11
"1890-1950",4279,1,1
"1890-1950",4280,1,1
"1890-1950",4281,28,15
"1890-1950",4387,3,1
"1890-1950",4392,3,2
"1890-1960",368,1,1
"1890-1960",369,1,1
"1890-1960",479,1,1
"1890-1960",480,52,39
"1890-1960",482,1,1
"1890-1960",488,21,13
"1890-1960",489,24,20
"1890-1960",542,106,63
"1890-1960",545,3,3
"1890-1960",546,105,51
"1890-1960",547,1,1
"1890-1960",654,2,2
"1890-1960",657,72,49
"1890-1960",658,1,1
"1890-1960",661,16,15
"1890-1960",774,21,18
"1890-1960",871,1,1
"1890-1960",882,1,1
"1890-1960",883,1,1
"1890-1960",941,10,9
"1890-1960",1107,2,2
"1890-1960",1214,1,1
"1890-1960",1219,11,9
"1890-1960",1264,3,3
"1890-1960",1278,1,1
"1890-1960",1331,3,3
"1890-1960",1366,1,1
"1890-1960",1376,2,2
"1890-1960",1488,1,1
"1890-1960",1499,1,1
"1890-1960",1501,2,2
"1890-1960",1502,1,1
"1890-1960",1599,3,3
"1890-1960",1602,1,1
"1890-1960",1613,1,1
"1890-1960",1712,4,3
"1890-1960",1720,6,6
"1890-1960",1721,13,9
"1890-1960",1768,1,1
"1890-1960",1826,3,3
"1890-1960",1880,1,1
"1890-1960",1998,1,1
"1890-1960",2104,2,2
"1890-1960",2215,12,9
"1890-1960",2216,1,1
"1890-1960",2549,1,1
"1890-1960",2587,1,1
"1890-1960",2605,1,1
"1890-1960",3158,5,3
"1890-1960",3270,2,1
"1890-1960",3273,1,1
"1890-1960",3310,1,1
"1890-1960",3311,1,1
"1890-1960",3324,1,1
"1890-1960",3326,4,3
"1890-1960",3382,1,1
"1890-1960",3432,4,4
"1890-1960",3440,1,1
"1890-1960",3445,7,6
"1890-1960",3541,1,1
"1890-1960",3553,1,1
"1890-1960",3662,1,1
"1890-1960",3765,1,1
"1890-1960",3824,3,2
"1890-1960",3880,1,1
"1890-1960",3882,1,1
"1890-1960",3889,1,1
"1890-1960",3983,3,3
"1890-1960",3990,1,1
"1890-1960",3992,1,1
"1890-1960",3996,1,1
"1890-1960",4049,2,2
"1890-1960",4051,1,1
"1890-1960",4055,1,1
"1890-1960",4056,4,3
"1890-1960",4060,6,6
"1890-1960",4111,2,1
"1890-1960",4112,1,1
"1890-1960",4161,6,4
"1890-1960",4163,1,1
"1890-1960",4167,1,1
"1890-1960",4168,22,16
"1890-1960",4274,1,1
"1890-1960",4279,1,1
"1890-1960",4280,2,2
"1890-1960",4281,32,15
"1890-1960",4387,3,1
"1890-1960",4390,1,1
"1890-1960",4392,4,3
"1890-1970",368,1,1
"1890-1970",369,1,1
"1890-1970",479,1,1
"1890-1970",480,53,40
"1890-1970",482,1,1
"1890-1970",488,21,13
"1890-1970",489,29,23
"1890-1970",541,8,8
"1890-1970",542,109,64
"1890-1970",544,4,4
"1890-1970",545,3,3
"1890-1970",546,107,53
"1890-1970",547,1,1
"1890-1970",549,1,1
"1890-1970",590,2,2
"1890-1970",597,1,1
"1890-1970",653,1,1
"1890-1970",654,3,3
"1890-1970",656,6,5
"1890-1970",657,78,52
"1890-1970",658,1,1
"1890-1970",661,16,15
"1890-1970",774,77,59
"1890-1970",775,1,1
"1890-1970",871,1,1
"1890-1970",882,1,1
"1890-1970",883,1,1
"1890-1970",941,90,71
"1890-1970",995,1,1
"1890-1970",1107,43,36
"1890-1970",1214,1,1
"1890-1970",1219,11,9
"1890-1970",1259,6,6
"1890-1970",1261,1,1
"1890-1970",1263,19,7
"1890-1970",1264,4,4
"1890-1970",1278,1,1
"1890-1970",1331,21,17
"1890-1970",1366,1,1
"1890-1970",1376,3,3
"1890-1970",1386,14,11
"1890-1970",1389,1,1
"1890-1970",1392,1,1
"1890-1970",1395,2,2
"1890-1970",1488,31,19
"1890-1970",1496,1,1
"1890-1970",1499,1,1
"1890-1970",1501,5,4
"1890-1970",1502,1,1
"1890-1970",1599,14,10
"1890-1970",1602,1,1
"1890-1970",1613,6,3
"1890-1970",1712,4,3
"1890-1970",1714,1,1
"1890-1970",1720,6,6
"1890-1970",1721,13,9
"1890-1970",1768,1,1
"1890-1970",1826,13,11
"1890-1970",1831,1,1
"1890-1970",1880,1,1
"1890-1970",1883,1,1
"1890-1970",1992,3,1
"1890-1970",1998,1,1
"1890-1970",2103,1,1
"1890-1970",2104,2,2
"1890-1970",2214,1,1
"1890-1970",2215,22,11
"1890-1970",2216,1,1
"1890-1970",2217,2,2
"1890-1970",2328,4,3
"1890-1970",2437,1,1
"1890-1970",2549,1,1
"1890-1970",2550,4,1
"1890-1970",2587,3,3
"1890-1970",2605,1,1
"1890-1970",2828,1,1
"1890-1970",3140,1,1
"1890-1970",3158,5,3
"1890-1970",3161,6,6
"1890-1970",3270,2,1
"1890-1970",3273,1,1
"1890-1970",3310,1,1
"1890-1970",3311,3,2
"1890-1970",3324,1,1
"1890-1970",3326,4,3
"1890-1970",3382,1,1
"1890-1970",3427,1,1
"1890-1970",3432,4,4
"1890-1970",3438,1,1
"1890-1970",3440,1,1
"1890-1970",3445,7,6
"1890-1970",3541,1,1
"1890-1970",3553,1,1
"1890-1970",3607,2,1
"1890-1970",3662,1,1
"1890-1970",3666,1,1
"1890-1970",3669,6,5
"1890-1970",3765,1,1
"1890-1970",3769,1,1
"1890-1970",3824,3,2
"1890-1970",3880,1,1
"1890-1970",3882,1,1
"1890-1970",3889,1,1
"1890-1970",3941,1,1
"1890-1970",3983,4,4
"1890-1970",3990,1,1
"1890-1970",3992,1,1
"1890-1970",3996,1,1
"1890-1970",4005,1,1
"1890-1970",4049,2,2
"1890-1970",4051,2,2
"1890-1970",4055,1,1
"1890-1970",4056,5,3
"1890-1970",4060,6,6
"1890-1970",4111,3,2
"1890-1970",4112,1,1
"1890-1970",4161,6,4
"1890-1970",4163,1,1
"1890-1970",4167,1,1
"1890-1970",4168,24,18
"1890-1970",4274,1,1
"1890-1970",4279,1,1
"1890-1970",4280,2,2
"1890-1970",4281,32,15
"1890-1970",4336,1,1
"1890-1970",4387,3,1
"1890-1970",4390,1,1
"1890-1970",4392,5,4
"1890-1980",368,3,2
"1890-1980",369,1,1
"1890-1980",479,1,1
"1890-1980",480,53,40
"1890-1980",482,1,1
"1890-1980",488,21,13
"1890-1980",489,29,23
"1890-1980",536,1,1
"1890-1980",541,8,8
"1890-1980",542,117,69
"1890-1980",544,4,4
"1890-1980",545,4,4
"1890-1980",546,109,55
"1890-1980",547,1,1
"1890-1980",549,1,1
"1890-1980",590,2,2
"1890-1980",597,1,1
"1890-1980",653,1,1
"1890-1980",654,3,3
"1890-1980",656,6,5
"1890-1980",657,86,56
"1890-1980",658,1,1
"1890-1980",661,16,15
"1890-1980",756,1,1
"1890-1980",774,77,59
"1890-1980",775,1,1
"1890-1980",871,1,1
"1890-1980",882,1,1
"1890-1980",883,1,1
"1890-1980",941,90,71
"1890-1980",985,4,3
"1890-1980",995,1,1
"1890-1980",1041,1,1
"1890-1980",1107,43,36
"1890-1980",1146,1,1
"1890-1980",1159,1,1
"1890-1980",1213,1,1
"1890-1980",1214,2,2
"1890-1980",1219,14,12
"1890-1980",1259,6,6
"1890-1980",1261,1,1
"1890-1980",1262,1,1
"1890-1980",1263,19,7
"1890-1980",1264,4,4
"1890-1980",1275,2,2
"1890-1980",1278,1,1
"1890-1980",1331,33,21
"1890-1980",1366,1,1
"1890-1980",1375,1,1
"1890-1980",1376,4,4
"1890-1980",1378,1,1
"1890-1980",1386,14,11
"1890-1980",1387,2,2
"1890-1980",1389,1,1
"1890-1980",1392,1,1
"1890-1980",1395,2,2
"1890-1980",1488,32,20
"1890-1980",1492,1,1
"1890-1980",1496,2,2
"1890-1980",1499,1,1
"1890-1980",1501,5,4
"1890-1980",1502,1,1
"1890-1980",1599,21,14
"1890-1980",1602,1,1
"1890-1980",1603,1,1
"1890-1980",1613,6,3
"1890-1980",1658,1,1
"1890-1980",1664,2,1
"1890-1980",1711,1,1
"1890-1980",1712,4,3
"1890-1980",1714,1,1
"1890-1980",1720,6,6
"1890-1980",1721,13,9
"1890-1980",1768,1,1
"1890-1980",1826,14,12
"1890-1980",1831,1,1
"1890-1980",1880,1,1
"1890-1980",1883,1,1
"1890-1980",1991,4,4
"1890-1980",1992,3,1
"1890-1980",1993,1,1
"1890-1980",1996,2,2
"1890-1980",1998,1,1
"1890-1980",2103,1,1
"1890-1980",2104,2,2
"1890-1980",2214,1,1
"1890-1980",2215,27,16
"1890-1980",2216,1,1
"1890-1980",2217,2,2
"1890-1980",2328,4,3
"1890-1980",2436,1,1
"1890-1980",2437,1,1
"1890-1980",2549,1,1
"1890-1980",2550,4,1
"1890-1980",2555,1,1
"1890-1980",2560,1,1
"1890-1980",2587,4,4
"1890-1980",2605,1,1
"1890-1980",2827,2,2
"1890-1980",2828,1,1
"1890-1980",3026,1,1
"1890-1980",3140,1,1
"1890-1980",3158,5,3
"1890-1980",3161,6,6
"1890-1980",3270,2,1
"1890-1980",3273,1,1
"1890-1980",3310,1,1
"1890-1980",3311,3,2
"1890-1980",3322,1,1
"1890-1980",3324,1,1
"1890-1980",3326,4,3
"1890-1980",3329,4,4
"1890-1980",3330,3,3
"1890-1980",3382,1,1
"1890-1980",3421,3,2
"1890-1980",3427,1,1
"1890-1980",3432,4,4
"1890-1980",3438,1,1
"1890-1980",3440,1,1
"1890-1980",3445,7,6
"1890-1980",3498,19,10
"1890-1980",3541,1,1
"1890-1980",3553,1,1
"1890-1980",3607,2,1
"1890-1980",3662,1,1
"1890-1980",3666,3,3
"1890-1980",3669,7,6
"1890-1980",3765,1,1
"1890-1980",3769,1,1
"1890-1980",3824,3,2
"1890-1980",3880,1,1
"1890-1980",3882,1,1
"1890-1980",3889,1,1
"1890-1980",3941,1,1
"1890-1980",3983,5,5
"1890-1980",3990,1,1
"1890-1980",3992,1,1
"1890-1980",3996,1,1
"1890-1980",3998,2,1
"1890-1980",4004,6,5
"1890-1980",4005,3,2
"1890-1980",4049,4,3
"1890-1980",4051,3,3
"1890-1980",4055,2,2
"1890-1980",4056,5,3
"1890-1980",4060,6,6
"1890-1980",4111,3,2
"1890-1980",4112,1,1
"1890-1980",4160,1,1
"1890-1980",4161,8,6
"1890-1980",4163,1,1
"1890-1980",4167,2,2
"1890-1980",4168,27,21
"1890-1980",4172,1,1
"1890-1980",4269,2,2
"1890-1980",4274,2,2
"1890-1980",4279,1,1
"1890-1980",4280,2,2
"1890-1980",4281,33,16
"1890-1980",4336,1,1
"1890-1980",4387,3,1
"1890-1980",4390,1,1
"1890-1980",4392,5,4
"1890-1990",368,3,2
"1890-1990",369,1,1
"1890-1990",479,1,1
"1890-1990",480,53,40
"1890-1990",482,1,1
"1890-1990",488,21,13
"1890-1990",489,29,23
"1890-1990",536,1,1
"1890-1990",541,8,8
"1890-1990",542,117,69
"1890-1990",544,4,4
"1890-1990",545,4,4
"1890-1990",546,109,55
"1890-1990",547,1,1
"1890-1990",549,1,1
"1890-1990",590,2,2
"1890-1990",597,1,1
"1890-1990",653,1,1
"1890-1990",654,3,3
"1890-1990",656,6,5
"1890-1990",657,92,62
"1890-1990",658,1,1
"1890-1990",661,16,15
"1890-1990",756,1,1
"1890-1990",774,77,59
"1890-1990",775,1,1
"1890-1990",871,1,1
"1890-1990",882,1,1
"1890-1990",883,1,1
"1890-1990",941,90,71
"1890-1990",985,4,3
"1890-1990",995,1,1
"1890-1990",1041,1,1
"1890-1990",1107,43,36
"1890-1990",1146,1,1
"1890-1990",1159,1,1
"1890-1990",1213,1,1
"1890-1990",1214,2,2
"1890-1990",1219,14,12
"1890-1990",1259,6,6
"1890-1990",1261,1,1
"1890-1990",1262,6,6
"1890-1990",1263,19,7
"1890-1990",1264,4,4
"1890-1990",1275,2,2
"1890-1990",1278,1,1
"1890-1990",1331,33,21
"1890-1990",1366,1,1
"1890-1990",1375,3,3
"1890-1990",1376,4,4
"1890-1990",1378,1,1
"1890-1990",1386,14,11
"1890-1990",1387,2,2
"1890-1990",1389,1,1
"1890-1990",1392,1,1
"1890-1990",1395,2,2
"1890-1990",1488,36,22
"1890-1990",1492,1,1
"1890-1990",1496,2,2
"1890-1990",1499,1,1
"1890-1990",1501,5,4
"1890-1990",1502,1,1
"1890-1990",1599,21,14
"1890-1990",1602,1,1
"1890-1990",1603,3,2
"1890-1990",1613,6,3
"1890-1990",1658,1,1
"1890-1990",1664,2,1
"1890-1990",1711,1,1
"1890-1990",1712,4,3
"1890-1990",1714,1,1
"1890-1990",1720,6,6
"1890-1990",1721,13,9
"1890-1990",1768,1,1
"1890-1990",1826,14,12
"1890-1990",1831,1,1
"1890-1990",1880,1,1
"1890-1990",1883,1,1
"1890-1990",1991,4,4
"1890-1990",1992,3,1
"1890-1990",1993,1,1
"1890-1990",1996,2,2
"1890-1990",1998,1,1
"1890-1990",2103,1,1
"1890-1990",2104,4,3
"1890-1990",2214,1,1
"1890-1990",2215,27,16
"1890-1990",2216,2,2
"1890-1990",2217,2,2
"1890-1990",2328,4,3
"1890-1990",2436,1,1
"1890-1990",2437,1,1
"1890-1990",2549,1,1
"1890-1990",2550,4,1
"1890-1990",2555,1,1
"1890-1990",2560,1,1
"1890-1990",2587,4,4
"1890-1990",2605,1,1
"1890-1990",2827,2,2
"1890-1990",2828,1,1
"1890-1990",3026,1,1
"1890-1990",3140,1,1
"1890-1990",3158,5,3
"1890-1990",3161,6,6
"1890-1990",3253,1,1
"1890-1990",3270,2,1
"1890-1990",3273,1,1
"1890-1990",3310,1,1
"1890-1990",3311,3,2
"1890-1990",3322,1,1
"1890-1990",3324,1,1
"1890-1990",3326,4,3
"1890-1990",3329,4,4
"1890-1990",3330,3,3
"1890-1990",3382,1,1
"1890-1990",3421,3,2
"1890-1990",3424,1,1
"1890-1990",3427,1,1
"1890-1990",3432,4,4
"1890-1990",3438,1,1
"1890-1990",3440,1,1
"1890-1990",3445,7,6
"1890-1990",3498,19,10
"1890-1990",3541,1,1
"1890-1990",3543,1,1
"1890-1990",3544,1,1
"1890-1990",3553,1,1
"1890-1990",3607,2,1
"1890-1990",3662,1,1
"1890-1990",3666,3,3
"1890-1990",3669,8,7
"1890-1990",3765,1,1
"1890-1990",3769,1,1
"1890-1990",3824,3,2
"1890-1990",3880,1,1
"1890-1990",3882,1,1
"1890-1990",3889,1,1
"1890-1990",3941,1,1
"1890-1990",3983,5,5
"1890-1990",3990,1,1
"1890-1990",3992,1,1
"1890-1990",3996,1,1
"1890-1990",3998,3,2
"1890-1990",4004,8,5
"1890-1990",4005,7,5
"1890-1990",4049,4,3
"1890-1990",4051,4,4
"1890-1990",4055,2,2
"1890-1990",4056,7,5
"1890-1990",4057,1,1
"1890-1990",4060,6,6
"1890-1990",4111,3,2
"1890-1990",4112,1,1
"1890-1990",4160,1,1
"1890-1990",4161,8,6
"1890-1990",4163,1,1
"1890-1990",4167,2,2
"1890-1990",4168,30,24
"1890-1990",4172,1,1
"1890-1990",4269,2,2
"1890-1990",4274,2,2
"1890-1990",4279,1,1
"1890-1990",4280,2,2
"1890-1990",4281,33,16
"1890-1990",4336,1,1
"1890-1990",4387,3,1
"1890-1990",4390,1,1
"1890-1990",4392,5,4
"1890-2000",368,3,2
"1890-2000",369,1,1
"1890-2000",479,1,1
"1890-2000",480,53,40
