"year","obs","spp","ind","cum.obs","cum.spp","cum.ind"
1900,9,7,6,9,7,6
1910,1,1,1,10,8,7
1920,295,164,24,305,172,31
1930,36,12,7,341,184,38
1940,42,15,10,383,199,48
1950,62,22,7,445,221,55
1960,212,53,40,657,274,95
1970,407,83,61,1064,357,156
1980,150,62,53,1214,419,209
1990,41,20,17,1255,439,226
2000,163,66,13,1418,505,239
2010,384,87,50,1802,592,289
2020,19074,400,1019,20876,992,1308
2024,45084,147,2145,65960,1139,3453
